feature,mae_increase_mean,mae_increase_std,rmse_increase_mean,rmse_increase_std,r2_drop_mean,r2_drop_std,pearson_drop_mean,pearson_drop_std,top1_drop_mean,top1_drop_std,top3_contains_target_drop_mean,top3_contains_target_drop_std,top3_overlap_drop_mean,top3_overlap_drop_std,ndcg_at_3_drop_mean,ndcg_at_3_drop_std
depth_median,0.051920894905924796,0.001349376512712773,0.06400129375491834,0.001383476683808433,0.7095861852003708,0.023489698635028505,0.3496431915750411,0.011979290897732522,0.502,0.047003545965526194,0.5080000000000001,0.06137679619458082,0.43288888888888877,0.030320102934774298,0.04852680792466786,0.0035605030090753117
visible_fraction,0.04184098523110151,0.0009099046021960416,0.05466500299290852,0.0009910712781152516,0.5582424034586368,0.015234536375316974,0.3367507406708874,0.010884069831515726,0.32666666666666666,0.050155314330144085,0.38333333333333336,0.055116039206185505,0.3499999999999999,0.03107537630255952,0.03575157512792983,0.0030756730972211896
part_id,0.02962448950856924,0.0006346077347173441,0.038386294602798264,0.0007955092951847923,0.33350895432378325,0.009804668060767647,0.16923703056066994,0.005259955289819719,0.30799999999999994,0.05022615520489964,0.2566666666666667,0.03838402445462609,0.28022222222222215,0.025042186627990605,0.02220580884518681,0.002055202255386614
valid_3d_points,0.027646632492542268,0.0005746472487318834,0.03603958122136518,0.0008751787940869964,0.3052200358031262,0.01035890102417197,0.16251866956888478,0.005837116425095966,0.41,0.05430367288580846,0.3573333333333334,0.05539354154090929,0.33444444444444443,0.022082896571501993,0.030133023830184395,0.002393018398523334
centroid_z,0.014954082109034062,0.00040854488028659746,0.01800584277653462,0.0005834076881494159,0.12209470316525137,0.004944949565801775,0.0665001321489139,0.002725923577099013,0.1773333333333333,0.031012542265634695,0.17000000000000004,0.03396076167186674,0.1835555555555555,0.01546641123671585,0.010456369342049443,0.0012966935511237482
bbox_x_max,0.013822590932250023,0.00041680410114531625,0.0202787342490351,0.0006363300157314097,0.14182300167104872,0.005624660033036198,0.06351997019321955,0.002728479556028781,0.2813333333333333,0.04519587001780878,0.19733333333333342,0.03492213560989013,0.20955555555555544,0.01801371219822539,0.02181353518714884,0.0016602589807446463
visible_pixels,0.013164765760302543,0.000526779606765766,0.017932084850090072,0.0006223572981919327,0.12147528771792486,0.005257593557768881,0.06361413604653864,0.002747683003086721,0.11266666666666665,0.04852948702707572,0.062000000000000055,0.02959729717389748,0.10977777777777771,0.019530286704639847,0.007934852793588909,0.0014238978788794934
bbox_x_min,0.012852683477103711,0.0002792313260076131,0.018320855194611296,0.0004900398191827179,0.12476100992622412,0.004168484664099903,0.04738277521800264,0.0021662109722642695,0.20333333333333328,0.04597100535482484,0.10866666666666672,0.026423894910141875,0.13311111111111107,0.01818831533745812,0.011385298117385067,0.0013162802021689894
centroid_y,0.011020884197205306,0.00037828853873178955,0.016022959812489506,0.0006155143575936327,0.10568236647329024,0.005000125758534208,0.04636795002740566,0.002382945007488695,0.1706666666666666,0.04513682901282868,0.09333333333333337,0.02666666666666666,0.14488888888888884,0.012122828175098497,0.012145600350016716,0.00171336442933768
depth_min,0.010838414169847965,0.0003341828531746827,0.01605946021245817,0.0005207249890451811,0.10596781626168605,0.004227054955364732,0.04786208018783798,0.0021135591488661448,0.15933333333333327,0.046279345044822943,0.07666666666666673,0.031233884733659924,0.11866666666666661,0.018384104782174608,0.006614243649329532,0.0008538978186760915
